"Name","points_per_game_ppg","position","goals_g","assists_a","country","games_played_gp","height","weight","penalties_in_minutes_pim","plus_minus_goal_differential","shots_on_goal_sog","age","shoot","total_minutes_as_duration","points"
"Katerina Mrazova",0.571,"F",2,2,"Czech Republic",7,163,63,6,1,8,30,"L","2:19:04",4
"Sonja Weidenfelder",0.333,"F",1,1,"Germany",6,168,63,2,-2,6,30,"L","1:42:22",2
"Bernadette Karpf",0.5,"F",0,3,"Germany",6,167,63,0,-1,6,26,"L","1:37:18",3
"Mei Miura",0,"F",0,0,"Japan",2,162,63,2,-3,5,24,"R","0:44:24",0
"Aoi Shiga",0.167,"D",1,0,"Japan",6,165,63,2,-2,3,23,"L","2:26:05",1
"Anne Bartsch",0,"D",0,0,"Germany",6,164,63,2,-1,1,27,"L","1:07:22",0
"Jenni Hiirikoski",1.571,"D",3,8,"Finland",7,162,62,2,6,31,36,"L","2:48:47",11
"Fanni Gasparics",0.25,"F",0,1,"Hungary",4,167,62,4,-1,18,28,"R","1:17:06",1
"Alexandra Huszak",1,"F",2,2,"Hungary",4,173,62,2,2,14,27,"L","1:09:45",4
"Reka Dabasi",1,"F",3,1,"Hungary",4,168,62,0,2,12,26,"L","1:12:01",4
"Clara Rozier",0.5,"F",0,2,"France",4,161,62,25,-6,10,25,"R","1:26:09",2
"Michaela Pejzlova",0.429,"F",2,1,"Czech Republic",7,169,62,2,-1,10,25,"L","1:56:21",3
"Celina Haider",1,"F",3,3,"Germany",6,170,62,6,0,7,22,"L","1:35:02",6
"Zsofia Pazmandi",0,"F",0,0,"Hungary",4,163,62,0,-5,7,20,"R","0:54:34",0
"Kinga Jokai Szilagyi",0,"F",0,0,"Hungary",4,168,62,2,-3,6,25,"L","0:57:20",0
"Sinja Leemann",0,"F",0,0,"Switzerland",7,168,62,8,-7,5,20,"L","1:57:15",0
"Klara Jandusikova",0.143,"D",0,1,"Czech Republic",7,165,62,2,-2,4,21,"L","0:58:02",1
"Lova Blom",0,"F",0,0,"Sweden",7,170,62,4,-4,3,19,"L","1:01:55",0
"Emma Ingold",0,"F",0,0,"Switzerland",7,171,62,0,-5,3,20,"R","1:30:24",0
"Chihiro Suzuki",0,"F",0,0,"Japan",6,157,62,0,-8,3,20,"L","1:02:25",0
"Emmi Rakkolainen",0,"F",0,0,"Finland",7,176,62,2,0,2,26,"L","0:48:13",0
"Rio Noro",0.167,"F",0,1,"Japan",6,165,62,0,-1,1,18,"R","0:19:14",1
"Lilia Faggyas",0,"D",0,0,"Hungary",1,175,62,0,0,0,21,"L","0:00:00",0
"Perrine Lavorel",0,"D",0,0,"France",4,174,62,0,-4,0,18,"L","0:20:02",0
"Akane Shiga",0.167,"F",0,1,"Japan",6,165,61,8,-2,17,22,"R","2:16:14",1
"Amanda Kessel",1.286,"F",5,4,"US",7,165,61,4,7,17,31,"R","1:47:17",9
"Gabrielle Hughes",0.286,"F",1,1,"US",7,172,61,2,4,11,23,"L","1:04:49",2
"Natalie Mlynkova",0.429,"F",2,1,"Czech Republic",7,161,61,2,-1,10,21,"L","2:19:33",3
"Eniko Toth",0,"D",0,0,"Hungary",4,163,61,0,-2,4,27,"R","1:10:26",0
"Linnéa Andersson",0.143,"D",1,0,"Sweden",7,171,61,4,-2,3,24,"R","2:11:01",1
"Sophie Leclerc",0,"D",0,0,"France",4,163,61,2,-4,2,25,"L","1:01:20",0
"Petra Szamosfalvi",0,"F",0,0,"Hungary",3,164,61,0,0,1,20,"L","0:11:55",0
"Alexandra Ronai",0,"F",0,0,"Hungary",4,160,61,0,0,1,29,"L","0:26:52",0
"Kiira Yrjänen",0.429,"F",1,2,"Finland",7,161,60,2,8,17,21,"L","1:42:12",3
"Sanni Vanhanen",0.857,"F",0,6,"Finland",7,168,60,0,9,12,17,"L","2:08:07",6
"Sofie Lundin",0.571,"F",1,3,"Sweden",7,164,60,4,-2,7,23,"L","1:20:21",4
"Anna-Kaisa Antti-Roiko",0,"F",0,0,"Finland",7,168,60,2,-1,6,18,"L","1:00:30",0
"Theresa Wagner",0.5,"F",1,2,"Germany",6,163,60,0,0,5,27,"L","1:21:53",3
"Carina Strobel",0.5,"D",0,3,"Germany",6,172,60,4,0,4,25,"L","2:08:08",3
"Ronja Hark",0.333,"D",1,1,"Germany",6,158,60,2,0,4,19,"L","1:50:05",2
"Svenja Voigt",0.167,"F",1,0,"Germany",6,165,60,4,1,2,19,"L","0:26:34",1
"Felizia Wikner-Zienkiewicz",0,"F",0,0,"Sweden",7,170,60,2,-1,2,23,"L","0:36:04",0
"Tereza Pistekova",0.143,"F",1,0,"Czech Republic",7,171,60,0,-2,2,17,"L","0:52:39",1
"Anni Montonen",0,"F",0,0,"Finland",6,169,60,0,-1,2,22,"L","0:24:46",0
"Kohane Sato",0,"D",0,0,"Japan",6,163,60,0,-4,1,17,"L","0:42:51",0
"Emma Nonnenmacher",0,"F",0,0,"France",4,170,60,0,-1,0,18,"L","0:10:07",0
"Lisa Johansson",0.286,"F",0,2,"Sweden",7,161,59,0,-1,17,30,"R","2:06:37",2
"Hannah Bilka",1,"F",4,3,"US",7,165,59,2,6,16,22,"L","1:36:44",7
"Hayley Williams",0,"F",0,0,"Hungary",4,163,59,2,-6,8,32,"R","0:59:57",0
"Akane Hosoyamada",0,"D",0,0,"Japan",5,163,59,6,-6,2,31,"R","1:39:04",0
"Cindy Joray",0,"F",0,0,"Switzerland",7,166,59,0,-4,1,29,"L","1:15:39",0
"Alena Rossel",0,"F",0,0,"Switzerland",7,169,58,2,-4,5,16,"R","1:04:25",0
"Ayaka Toko",0.167,"D",0,1,"Japan",6,161,58,2,-4,5,28,"R","2:33:19",1
"Heidi Strompf",0,"D",0,0,"Germany",6,164,58,0,0,5,20,"L","1:22:39",0
"Shana Casanova",0,"F",0,0,"France",3,158,58,0,-1,1,18,"L","0:12:01",0
"Kristin O'Neill",0,"F",0,0,"Canada",7,163,57,2,0,10,25,"L","1:21:54",0
"Jaime Bourbonnais",0.143,"D",0,1,"Canada",7,170,57,2,4,6,24,"R","1:15:37",1
"Yoshino Enomoto",0.167,"F",1,0,"Japan",6,162,57,0,-5,4,24,"R","1:28:09",1
"Betty Jouanny",0,"F",0,0,"France",4,160,56,4,-4,6,31,"L","1:02:59",0
"Sofianna Sundelin",0.714,"F",0,5,"Finland",7,169,55,6,7,6,20,"L","1:13:16",5
"Athena Locatelli",0.25,"D",1,0,"France",4,158,55,0,-5,5,31,"L","1:45:53",1
"Bernadett Nemeth",0,"D",0,0,"Hungary",4,165,55,2,-3,0,26,"L","1:08:56",0
"Riri Noro",0,"F",0,0,"Japan",4,162,55,0,0,0,18,"L","0:18:35",0
"Adela Sapovalivova",0.286,"F",2,0,"Czech Republic",7,162,54,2,-4,13,16,"L","2:02:34",2
"Hikaru Yamashita",0,"F",0,0,"Japan",5,158,54,2,-4,12,22,"L","1:42:34",0
"Aneta Tejralova",0.429,"D",0,3,"Czech Republic",7,164,53,2,0,15,27,"L","2:46:31",3
"Shiori Koike",0,"D",0,0,"Japan",6,159,53,0,-5,5,30,"L","2:06:38",0
"Remi Koyama",0.333,"F",1,1,"Japan",6,147,52,0,-2,7,22,"R","1:36:17",2
"Shiori Yamashita",0,"D",0,0,"Japan",6,158,52,0,-3,0,20,"L","0:49:33",0
"Chisato Miyazaki",0,"F",0,0,"Japan",6,151,51,0,-5,0,25,"R","0:15:22",0
"Yumeka Wajima",0,"F",0,0,"Japan",6,156,48,0,-6,3,20,"R","1:01:18",0
"Lara Strobl",0,"F",0,0,"Hungary",4,155,48,0,-2,0,19,"L","0:22:05",0
"Lisa Cedelle",0,"F",0,0,"France",4,149,42,2,-3,4,19,"L","0:52:19",0
